"","hgnc_symbol","entrezgene"
"634","",84765
"635","",346653
"636","MFSD9",84804
"637","DLGAP2",9228
"638","HNF1B",6928
"639","",2934
"640","THSD1",55901
"641","",255928
"642","",953
"643","",2802
"644","EME2",197342
"645","SLC25A40",55972
"646","",79567
"647","GSTM1",2944
"648","NR0B1",190
"649","LMF1",64788
"650","CCT8",10694
"651","DOC2B",8447
"652","BIRC2",329
"653","SNORD114-15",767593
"654","GBP1",2633
"655","NOXA1",10811
"656","MSR1",4481
"657","FAM19A5",25817
"658","NLRP2",55655
"659","BLOC1S1",2647
"660","SLCO2B1",11309
"661","TAP2",6891
"662","SLC8A3",6547
"663","",7273
"664","",3431
"665","TAS2R8",50836
"666","TULP4",56995
"667","",55779
"668","FAM169A",26049
"669","",444
"670","GAL3ST2",64090
"671","",23081
"672","CDRT15",146822
"673","ZNF213",7760
"674","FMO1",2326
"675","",22949
"676","",2258
"677","ATL1",51062
"678","PLEKHH1",57475
"679","FAM71F2",346653
"680","SCHIP1",29970
"681","LAMC2",3918
"682","",57698
"683","TIAF1",9220
"684","PLEKHN1",84069
"685","IL10RB",3588
"686","TSPAN11",441631
"687","PRSS27",83886
"688","AGBL1",123624
"689","ARL14EP",120534
"690","ITCH",83737
"691","NRAP",4892
"692","NECAB1",64168
"693","",11245
"694","",631
"695","",2622
"696","",9474
"697","SLC10A3",8273
"698","NDOR1",27158
"699","LRMP",4033
"700","ATM",472
"701","PGBD3",267004
"702","FKBP1A",2280
"703","",57209
"704","",4696
"705","CLN3",1201
"706","",197407
"707","THYN1",29087
"708","RAB11A",8766
"709","FBXO31",79791
"710","C17orf100",388327
"711","",374286
"712","PRB1",5542
"713","",51326
"714","",100506084
"715","TMEM123",114908
"716","PNPT1",87178
"717","",5802
"718","STRADB",55437
"719","INTS10",55174
"720","CLDN7",1366
"721","SNORD121A",100113379
"722","IPPK",64768
"723","LTV1",84946
"724","KITLG",4254
"725","CLINT1",9685
"726","CD33",945
"727","INPP5K",51763
"728","TPCN1",53373
"729","COL4A3BP",10087
"730","ACTN2",88
"731","",91526
"732","TTC39A",22996
"733","",140688
"734","",9750
"735","CDCA4",55038
"736","CPNE6",9362
"737","SMURF2",64750
"738","",8464
"739","SPINK2",6691
"740","ULBP3",79465
"741","",25788
"742","PLCXD1",55344
"743","VSTM1",284415
"744","PKN2",5586
"745","",54494
"746","SLC22A17",51310
"747","",284124
"748","PHACTR3",116154
"749","SCAI",286205
"750","PSMA4",5685
"751","PGM5P3-AS1",572558
"752","LRRC28",123355
"753","ACMSD",130013
"754","OR9I1",219954
"755","AATK",9625
"756","ANXA13",312
"757","GGCX",2677
"758","LINC00606",285370
"759","GLP1R",2740
"760","CADM1",23705
"761","CXorf51A",100129239
"762","MC2R",4158
"763","MRPS15",64960
"764","SLC9A2",6549
"765","ARSK",153642
"766","ALDH1B1",219
"767","ZHX2",22882
"768","RFPL4B",442247
"769","ZNF846",162993
"770","CHEK1",1111
"771","CCL15",6359
"772","LINC00028",140875
"773","MIR4435-2HG",541471
"774","NCF1B",654816
"775","SEPSECS",51091
"776","COLGALT2",23127
"777","LRP2BP",55805
"778","IDH3A",3419
"779","KANK3",256949
"780","PTP4A1",7803
"781","C6orf136",221545
"782","PPP2R3A",5523
"783","VWA3A",146177
"784","SLC41A3",54946
"785","FLOT1",10211
"786","OR4N4",283694
"787","KRT12",3859
"788","RSPO3",84870
"789","LRRC70",100130733
"790","SNORD116-22",100033433
"791","PPIL1",51645
"792","",150786
"793","OR51E2",81285
"794","MYLK",4638
"795","BSG",682
"796","OR5D18",219438
"797","PTPRVP",148713
"798","LIM2",3982
"799","SNORD42B",26808
"800","SLMAP",7871
"801","PIK3IP1",113791
"802","MAN2B2",23324
"803","PPCDC",60490
"804","NAF1",92345
"805","PCP4",5121
"806","ANKRD52",283373
"807","TMEM64",169200
"808","ERN1",2081
"809","CCR9",10803
"810","TMEM110",375346
"811","HYLS1",219844
"812","KRT20",54474
"813","GSTM4",2948
"814","STK35",140901
"815","YIF1B",90522
"816","CTAGE5",4253
"817","ACTG2",72
"818","C1orf158",93190
"819","GSTM2",2946
"820","SNORD114-22",767600
"821","NID2",22795
"822","GMCL1",64395
"823","DCAF8L2",347442
"824","SEC24C",9632
"825","CCRL2",9034
"826","SNORA77",677843
"827","GABRR3",200959
"828","FPGT",8790
"829","HHIPL2",79802
"830","VTRNA1-3",56662
"831","DGAT1",8694
"832","OR12D3",81797
"833","LCP2",3937
"834","PIK3R1",5295
"835","LNP1",348801
"836","HSPA1B",3304
"837","C1orf189",388701
"838","PPP1R3C",5507
"839","PCDH7",5099
"840","SLAMF6",114836
"841","ZFP57",346171
"842","ANK3",288
"843","GPR182",11318
"844","OR10C1",442194
"845","LONRF3",79836
"846","RBMS1",5937
"847","ATP5SL",55101
"848","C19orf38",255809
"849","SNORA6",574040
"850","METTL7B",196410
"851","ING2",3622
"852","OR5V1",81696
"853","CTCF",10664
"854","FTCD",10841
"855","SWI5",375757
"856","USP45",85015
"857","DLGAP4",22839
"858","ADAM18",8749
"859","OVGP1",5016
"860","SMIM6",100130933
"861","CASK",8573
"862","CNST",163882
"863","SPOCK1",6695
"864","NAP1L2",4674
"865","CHD7",55636
"866","ABCA6",23460
"867","APOC4",346
"868","USP47",55031
"869","OR5D16",390144
"870","CYSLTR2",57105
"871","SNORA71C",677839
"872","HIST1H1D",3007
"873","ADTRP",84830
"874","GP1BA",2811
"875","ZNF280A",129025
"876","MMS19",64210
"877","ZNF425",155054
"878","RER1",11079
"879","OCM2",4951
"880","ZNF208",7757
"881","ID1",3397
"882","SNORD115-16",100033454
"883","TMEM38A",79041
"884","CACNB3",784
"885","SORBS3",10174
"886","LONRF2",164832
"887","TPX2",22974
"888","KRTAP11-1",337880
"889","LILRP2",79166
"890","TRPM5",29850
"891","PIAS3",10401
"892","TGM3",7053
"893","GOLGA8G",283768
"894","ARHGAP36",158763
"895","WISP3",8838
"896","PI4KAP1",728233
"897","HEATR5B",54497
"898","KRTAP19-7",337974
"899","PRRT4",401399
"900","CCDC140",151278
"901","SPANXN5",494197
"902","LINC00319",284836
"903","SNORA14B",677802
"904","FAIM2",23017
"905","PTPN14",5784
"906","MLEC",9761
"907","APOC4-APOC2",344
"908","OTUD7A",161725
"909","AMELY",266
"910","NLRP8",126205
"911","SNORA26",677810
"912","ITGAE",3682
"913","NR2C2AP",126382
"914","GPBAR1",151306
"915","HIST1H2AL",8332
"916","CXorf21",80231
"917","PTPRT",11122
"918","YY1",7528
"919","ZNF596",169270
"920","ASB7",140460
"921","PNPO",55163
"922","WDFY2",115825
"923","OR5B21",219968
"924","MAP10",54627
"925","NOS1AP",9722
"926","CRCT1",54544
"927","ZBTB24",9841
"928","SLC25A15",10166
"929","KRT17",3872
"930","SETBP1",26040
"931","IST1",9798
"932","OPN1LW",5956
"933","CHRM2",1129
"934","FGF1",2246
"935","ACBD6",84320
"936","RPS10",6204
"937","LIME1",54923
"938","LENG1",79165
"939","VEGFB",7423
"940","KIR2DL3",3804
"941","VCAM1",7412
"942","HMCES",56941
"943","GRWD1",83743
"944","TMIGD2",126259
"945","GC",2638
"946","CEP290",80184
"947","LAMB3",3914
"948","YAF2",10138
"949","INPP1",3628
"950","LY6G5C",80741
"951","SNORA56",677835
"952","ANGEL1",23357
"953","TMEM230",29058
"954","SNORD114-28",767609
"955","KRTAP19-6",337973
"956","TPM1",7168
"957","C5orf58",133874
"958","COX7A2",1347
"959","HLA-DPA1",3113
"960","DCDC1",341019
"961","FAM209A",200232
"962","LIPH",200879
"963","DESI2",51029
"964","GEMIN6",79833
"965","C12orf54",121273
"966","SNORA30",677813
"967","TPT1",7178
"968","RASGEF1B",153020
"969","ZDHHC6",64429
"970","SHQ1",55164
"971","TCAM1P",146771
"972","RPS26",6231
"973","KRT28",162605
"974","ZEB1",6935
"975","AGAP1",116987
"976","HIST1H2AK",8330
"977","LINC00847",729678
"978","KRTAP3-1",83896
"979","SAT2",112483
"980","LY6G6C",80740
"981","ACSBG1",23205
"982","PTGER1",5731
"983","TBC1D9B",23061
"984","CDYL2",124359
"985","HOXD3",3232
"986","SNORA68",26780
"987","SNORD116-2",100033414
"988","THOC2",57187
"989","HSD17B8",7923
"990","TGFB1",7040
"991","L3MBTL4",91133
"992","SMDT1",91689
"993","HDHD2",84064
"994","EXOSC8",11340
"995","ZNF658",26149
"996","ZNF669",79862
"997","SLC25A46",91137
"998","INE2",8551
"999","GTF2A1",2957
"1000","SH3GLB1",51100
"1001","SLC35B4",84912
"1002","ANKRD20A11P",391267
"1003","EMID1",129080
"1004","LECT2",3950
"1005","GCKR",2646
"1006","LINC00426",100188949
"1007","OR2J2",26707
"1008","METTL2B",55798
"1009","H6PD",9563
"1010","FAM35A",54537
"1011","HMGB2",3148
"1012","FAM163A",148753
"1013","C12orf10",60314
"1014","GFOD1",54438
"1015","STX16",8675
"1016","HOXD9",3235
"1017","HLF",3131
"1018","BORA",79866
"1019","SIRPD",128646
"1020","PCBP4",57060
"1021","TSNAXIP1",55815
"1022","C11orf24",53838
"1023","MAGEA8",4107
"1024","PNLIPRP1",5407
"1025","CTSB",1508
"1026","PHF10",55274
"1027","FAM212A",389119
"1028","TTC3",7267
"1029","ELP6",54859
"1030","RNF24",11237
"1031","SNORA66",26782
"1032","SPATA33",124045
"1033","GYS2",2998
"1034","ELF4",2000
"1035","RNF146",81847
"1036","TP53BP1",7158
"1037","LGALS14",56891
"1038","BCAM",4059
"1039","RPP25L",138716
"1040","HIST1H3J",8356
"1041","CD3D",915
"1042","HMGB3",3149
"1043","SNORA32",692063
"1044","NGEF",25791
"1045","ZFYVE26",23503
"1046","OR8J1",219477
"1047","ATAD3A",55210
"1048","GOLGA6L9",440295
"1049","POTEH",23784
"1050","ARHGAP28",79822
"1051","TNF",7124
"1052","CNOT2",4848
"1053","DNALI1",7802
"1054","BAZ2A",11176
"1055","SNORD32A",26819
"1056","URM1",81605
