"","BT20_Abemaciclib_0.3_6","BT20_Abemaciclib_3_6","BT20_Palbociclib_0.3_6","BT20_Palbociclib_3_6","BT20_Ribociclib_0.3_6"
"LAMP2",-0.0764148012863548,0.00471420830739259,-0.154636814571972,-0.0637237135119052,0.0016471961508034
"GDE1",-0.0513507164191938,0.101789696298009,0.0230110208695246,0.0381698560762183,-0.0512993990313854
"C19orf60",0.5823336140941,0.855923036075055,0.751197773170245,0.449634748815184,0.0700846713173765
"MAP3K14",0.0368786885547254,-0.227089726450172,0.13420787981979,-0.0541286756335476,-0.00646751235541013
"TMEM132A",0.599477474914277,0.674089440139063,0.603224707269668,0.489438686813171,0.226198019027821
"AP2B1",-0.0127445269205169,0.232160707895548,-0.0910626388016498,-0.0623804161469382,0.0232096825088775
"ZNF263",0.0602431895704962,0.155468100467744,-0.000927042631890365,-0.0719704981698176,0.120019908438425
"SPATA20",0.395061328139263,0.478459010913247,0.485026588884849,0.256257464208649,0.185373790216079
"TNFRSF12A",0.319608695311357,0.234107947061177,0.346474168233256,0.272551653086403,0.261767070232122
"RALA",-0.32952129833609,-0.362329387294819,-0.359319106817948,-0.211344620289342,-0.302349044807585
"BAIAP2L1",-0.0536049622555401,0.0552086051778024,-0.0527430326638893,-0.128378767975591,0.0116388056064149
"KDM7A",-0.0485228850088502,-0.721972891448337,0.280793560483415,0.686862581970638,0.396585292956963
"AGK",0.12492424216961,0.0941802071703578,0.147715282918309,0.216825270887658,0.214035104418378
"ALDH3B1",0.452703849663936,0.502374858713635,0.616610737894314,0.824643957467026,0.438300899366489
"PHTF2",-0.441954126426303,-0.433389645889082,-0.577028517229191,-0.234262781381517,-0.0311025939339986
"FARP2",-0.204186410669864,-0.259113860206632,-0.174253363294795,-0.266721501499142,-0.0874071002982066
"GGCT",-0.173585994562245,-0.00620278295859491,-0.326071543851832,-0.129062091965855,-0.244196825806665
"DBF4",-0.258434705695533,-0.425158773444367,-0.274357617213783,-0.255858682329614,-0.0697175534952057
"IFRD1",-0.111280200747058,-0.433369182263892,0.085797342140213,0.139549251493385,0.16014633001137
"COX10",0.320082884064299,0.353005172276407,0.0113758897132868,0.14495236615262,0.000850737387050052
"GTF2IRD1",0.158737626164336,0.416936121144787,0.184821784627572,0.0442393563962567,0.102090709366334
"PAF1",-0.0289602556384393,-0.0584759011434181,0.0223522147494992,-0.0999910883825541,-0.0539614179054656
"VPS41",0.0581131206962241,0.103882960997417,-0.0302167651488962,-0.022819639931763,0.117012655104253
"ELAC2",0.143281004402616,-0.0545786726061695,0.171209998657281,0.0219389220573663,0.0900828515162739
"ARSD",0.365870379944891,0.489677833051206,0.242455814285657,0.13752939845557,0.2177110405269
"PNPLA4",0.193859797519943,0.287398213786833,0.185681862727593,-0.0309429639881151,-0.219971302823351
"ADIPOR2",-0.204641015051018,-0.14899641089585,-0.191593688169838,-0.283256502658683,-0.126832823396156
"MARK4",0.491439507654902,0.616745742181641,0.446910882649126,0.263270612161056,0.293597373620335
"CCDC124",0.413623938164943,0.690325976192392,0.617457261073342,0.325222551760374,0.129555931013557
"PAFAH1B1",-0.107883187591295,-0.211233383460396,-0.0297301858191155,0.0606300551128628,-0.0537744706439834
"KIAA0100",0.0875268838872906,0.329895916908648,0.0957441260177167,0.0404346013370905,0.00420479412907293
"TRAPPC6A",0.696045712022778,1.08504826495376,0.682294735346184,0.448086621857013,0.24587602689307
"ST7L",0.0198251266237951,-0.628314891775968,-0.000747603771162027,-0.0712379882575884,0.0442719642993325
"RPUSD1",0.440802553048235,0.566892820017633,0.590080660442758,0.255652697312617,0.11178565081487
"RHBDF1",0.452755774487994,0.419212655776662,0.540311622357065,0.138668151067089,0.183620226488605
"LUC7L",0.47352900384321,0.6176982770977,0.396408679307075,0.371779784328877,0.2211773111804
"TSR3",0.403986656640714,0.5855139193418,0.350886274019231,0.0247553396120326,-0.321742072801493
"PIGQ",0.456048761818389,0.762781160447068,0.575506285384846,0.328449899917966,0.0852103176363197
"CRAMP1",0.00120454837177878,0.292973698063308,-0.072641290466783,-0.0996004827582107,0.0803479053830146
"TEAD3",-0.0841914599855828,-0.191304629760881,0.0272789463986124,-0.1737069272955,-0.104572871251683
